Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
CONTROL_0hr_1	22.158953	91.28	48.81	9.411068	275.0	278.12	7.276561	7.269533	7.054914999999999	0.20699099999999998	0.005359	0.009296	0.39	0.03	1.39	0.02	3.32
CONTROL_0hr_2	25.921115	91.97999999999999	25.96	17.11306	276.0	275.25	2.3387089999999997	2.334956	2.073776	0.260436	0.001431	0.0030659999999999997	0.79	0.05	1.44	0.03	2.63
CONTROL_0hr_3	31.34182	90.97	32.33	18.378359	276.0	275.4	4.338679	4.332223	3.967901	0.36371899999999996	0.001691	0.0053679999999999995	0.67	0.05	1.47	0.03	2.33
CONTROL_0hr_4	29.192076999999998	88.99000000000001	59.24	8.685734	276.0	277.62	6.8775059999999995	6.8693919999999995	6.662347	0.202429	0.004565	0.008165	0.31	0.03	2.02	0.02	1.83
CONTROL_0hr_5	35.031278	92.97	41.86	17.905445	278.0	277.8	8.401045	8.391793999999999	8.066656	0.31867999999999996	0.005993999999999999	0.009715	0.31	0.02	1.52	0.01	1.92
CONTROL_1hr_1	35.167212	90.9	65.47	8.942916	281.0	281.58	9.640336999999999	9.630488	9.463880999999999	0.16036799999999998	0.006828	0.00926	0.35	0.05	2.32	0.03	2.09
CONTROL_1hr_2	21.516963999999998	92.86	42.7	10.793958	274.0	275.7	5.2168779999999995	5.210986999999999	5.104833999999999	0.102768	0.002983	0.006293	0.4	0.03	1.31	0.01	2.22
CONTROL_1hr_4	42.403123	93.42	84.04	3.9757919999999998	283.0	283.33	15.111244999999998	15.092965	14.845284999999999	0.237013	0.011994999999999999	0.016952	0.24	0.04	2.52	0.02	2.14
CONTROL_1hr_5	38.769681999999996	90.03999999999999	59.51	11.837728	280.0	279.87	8.932248999999999	8.919762	8.640863	0.275206	0.005451	0.010728999999999999	0.38	0.04	1.82	0.02	1.65
CONTROL_24hr_1	28.838161999999997	94.00999999999999	49.22	12.915923999999999	274.0	277.84	10.550404	10.539621	10.285010999999999	0.245664	0.0060019999999999995	0.013727	0.29	0.02	1.43	0.01	1.98
CONTROL_24hr_2	34.058033	92.41999999999999	41.91	17.204192	276.0	277.1	9.701813	9.692376999999999	9.424173	0.25867999999999997	0.008392	0.010568	0.36	0.03	1.34	0.01	2.58
CONTROL_24hr_3	33.611436	93.44	50.0	14.60236	277.0	278.45	10.824434	10.814572	10.595264	0.198482	0.017858	0.01283	0.27	0.02	1.47	0.01	1.68
CONTROL_24hr_4	42.906563999999996	93.09	56.07	15.885178999999999	275.0	275.35	11.361049999999999	11.346803	11.098918999999999	0.241788	0.007625	0.012718	0.32	0.03	1.83	0.02	2.19
CONTROL_24hr_5	25.189443999999998	96.16	39.92	14.167447	272.0	273.87	6.5530539999999995	6.546386	6.269695	0.27144999999999997	0.004478	0.007430999999999999	0.28	0.02	1.43	0.01	1.45
LIF_1hr_1	39.474606	87.75	60.55	10.73519	277.0	278.51	8.890039	8.879909999999999	8.717668999999999	0.156938	0.005306	0.010126	0.42	0.05	2.1	0.02	2.01
LIF_1hr_2	26.831146999999998	91.00999999999999	35.73	14.832581	272.0	271.64	6.487280999999999	6.481307999999999	6.1443639999999995	0.33248	0.003234	0.007202999999999999	0.49	0.03	1.3	0.02	2.67
LIF_1hr_3	34.24799	90.4	46.82	14.923623999999998	277.0	277.65	6.984442	6.974952999999999	6.80025	0.171667	0.004097	0.008428	0.48	0.04	1.56	0.02	2.15
LIF_1hr_4	37.907368	90.14	57.44	12.396873999999999	277.0	277.97	12.033093	12.019521	11.71708	0.29547	0.007554	0.012988999999999999	0.32	0.03	1.75	0.02	2.02
LIF_1hr_5	51.034763	92.35	55.09	19.015216	277.0	278.88	16.831574	16.815468	16.40362	0.398572	0.010903	0.018479	0.29	0.02	1.59	0.01	1.56
LIF_24hr_1	31.603738	93.77	51.54	13.347132	277.0	278.82	8.75811	8.748339999999999	8.583579	0.154155	0.009831	0.010544999999999999	0.33	0.03	1.88	0.02	2.03
LIF_24hr_2	26.327789	93.53	43.55	13.157942	275.0	275.76	7.294814	7.2872829999999995	7.144932	0.136719	0.004196	0.008967	0.35	0.03	1.4	0.01	2.04
LIF_24hr_3	31.457637	90.27000000000001	39.88	15.851282999999999	274.0	274.58	6.4736389999999995	6.465732999999999	6.243294	0.199652	0.022091	0.008602	0.48	0.04	1.54	0.02	1.77
LIF_24hr_4	43.687155	96.77	81.05	6.869393	279.0	279.21	15.044630999999999	15.023798999999999	14.660718	0.358228	0.009661	0.016024	0.21	0.03	2.22	0.01	1.83
LIF_24hr_5	21.707425999999998	92.3	44.57	10.360111999999999	272.0	275.03	6.8618179999999995	6.855049999999999	6.613909	0.233954	0.004491	0.009464	0.28	0.02	1.52	0.01	1.41
control_1hr_3	34.193683	87.02	52.79	11.705226	278.0	277.87	8.408646	8.398099	8.078438	0.315496	0.00547	0.009242	0.42	0.05	1.79	0.02	1.72
